Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Workflow,gpt,0,Case_tailoring,5,0.114,0.317
Model_Workflow,gpt,0,Missing_data_concordance,3,0.068,0.252
Model_Workflow_Studies,gpt,0,Completeness,19,0.432,0.495
Model_Workflow_Studies,gpt,0,Step_concordance,16,0.364,0.481
Model_Workflow_Studies,gpt,0,Case_tailoring,9,0.205,0.403
Model_Workflow_Studies,gpt,0,Missing_data_concordance,7,0.159,0.366
Model_Alone,gpt,1,Completeness,15,0.341,0.474
Model_Alone,gpt,1,Step_concordance,15,0.341,0.474
Model_Alone,gpt,1,Case_tailoring,5,0.114,0.317
Model_Alone,gpt,1,Missing_data_concordance,5,0.114,0.317
Model_Studies,gpt,1,Completeness,22,0.5,0.5
Model_Studies,gpt,1,Step_concordance,19,0.432,0.495
Model_Studies,gpt,1,Case_tailoring,5,0.114,0.317
Model_Studies,gpt,1,Missing_data_concordance,4,0.091,0.287
Model_Workflow,gpt,1,Completeness,27,0.614,0.487
Model_Workflow,gpt,1,Step_concordance,26,0.591,0.492
Model_Workflow,gpt,1,Case_tailoring,6,0.136,0.343
Model_Workflow,gpt,1,Missing_data_concordance,4,0.091,0.287
Model_Workflow_Studies,gpt,1,Completeness,21,0.477,0.499
Model_Workflow_Studies,gpt,1,Step_concordance,17,0.386,0.487
Model_Workflow_Studies,gpt,1,Case_tailoring,6,0.136,0.343
Model_Workflow_Studies,gpt,1,Missing_data_concordance,8,0.182,0.386
Model_Alone,gpt,2,Completeness,17,0.386,0.487
Model_Alone,gpt,2,Step_concordance,14,0.318,0.466
Model_Alone,gpt,2,Case_tailoring,4,0.091,0.287
Model_Alone,gpt,2,Missing_data_concordance,4,0.091,0.287
Model_Studies,gpt,2,Completeness,19,0.432,0.495
Model_Studies,gpt,2,Step_concordance,16,0.364,0.481
Model_Studies,gpt,2,Case_tailoring,10,0.227,0.419
Model_Studies,gpt,2,Missing_data_concordance,5,0.114,0.317
Model_Workflow,gpt,2,Completeness,28,0.636,0.481
Model_Workflow,gpt,2,Step_concordance,26,0.591,0.492
Model_Workflow,gpt,2,Case_tailoring,4,0.091,0.287
Model_Workflow,gpt,2,Missing_data_concordance,4,0.091,0.287
Model_Workflow_Studies,gpt,2,Completeness,20,0.455,0.498
Model_Workflow_Studies,gpt,2,Step_concordance,21,0.477,0.499
Model_Workflow_Studies,gpt,2,Case_tailoring,3,0.068,0.252
Model_Workflow_Studies,gpt,2,Missing_data_concordance,7,0.159,0.366
Model_Alone,llama,0,Completeness,24,0.545,0.498
Model_Alone,llama,0,Step_concordance,19,0.432,0.495
Model_Alone,llama,0,Case_tailoring,19,0.432,0.495
Model_Alone,llama,0,Missing_data_concordance,0,0.0,0.0
Model_Studies,llama,0,Completeness,29,0.659,0.474
Model_Studies,llama,0,Step_concordance,19,0.432,0.495
Model_Studies,llama,0,Case_tailoring,22,0.5,0.5
Model_Studies,llama,0,Missing_data_concordance,1,0.023,0.149
Model_Workflow,llama,0,Completeness,36,0.818,0.386
Model_Workflow,llama,0,Step_concordance,28,0.636,0.481
Model_Workflow,llama,0,Case_tailoring,32,0.727,0.445
Model_Workflow,llama,0,Missing_data_concordance,5,0.114,0.317
Model_Workflow_Studies,llama,0,Completeness,32,0.727,0.445
Model_Workflow_Studies,llama,0,Step_concordance,19,0.432,0.495
Model_Workflow_Studies,llama,0,Case_tailoring,23,0.523,0.499
Model_Workflow_Studies,llama,0,Missing_data_concordance,6,0.136,0.343
Model_Alone,llama,1,Completeness,26,0.591,0.492
Model_Alone,llama,1,Step_concordance,19,0.432,0.495
Model_Alone,llama,1,Case_tailoring,20,0.455,0.498
Model_Alone,llama,1,Missing_data_concordance,0,0.0,0.0
Model_Studies,llama,1,Completeness,28,0.636,0.481
Model_Studies,llama,1,Step_concordance,19,0.432,0.495
Model_Studies,llama,1,Case_tailoring,21,0.477,0.499
Model_Studies,llama,1,Missing_data_concordance,1,0.023,0.149
Model_Workflow,llama,1,Completeness,36,0.818,0.386
Model_Workflow,llama,1,Step_concordance,28,0.636,0.481
Model_Workflow,llama,1,Case_tailoring,31,0.705,0.456
Model_Workflow,llama,1,Missing_data_concordance,7,0.159,0.366
Model_Workflow_Studies,llama,1,Completeness,31,0.705,0.456
Model_Workflow_Studies,llama,1,Step_concordance,20,0.455,0.498
Model_Workflow_Studies,llama,1,Case_tailoring,22,0.5,0.5
Model_Workflow_Studies,llama,1,Missing_data_concordance,6,0.136,0.343
Model_Alone,llama,2,Completeness,24,0.545,0.498
Model_Alone,llama,2,Step_concordance,19,0.432,0.495
Model_Alone,llama,2,Case_tailoring,19,0.432,0.495
Model_Alone,llama,2,Missing_data_concordance,0,0.0,0.0
Model_Studies,llama,2,Completeness,27,0.614,0.487
Model_Studies,llama,2,Step_concordance,19,0.432,0.495
Model_Studies,llama,2,Case_tailoring,21,0.477,0.499
Model_Studies,llama,2,Missing_data_concordance,1,0.023,0.149
Model_Workflow,llama,2,Completeness,36,0.818,0.386
Model_Workflow,llama,2,Step_concordance,28,0.636,0.481
Model_Workflow,llama,2,Case_tailoring,30,0.682,0.466
Model_Workflow,llama,2,Missing_data_concordance,7,0.159,0.366
Model_Workflow_Studies,llama,2,Completeness,31,0.705,0.456
Model_Workflow_Studies,llama,2,Step_concordance,20,0.455,0.498
Model_Workflow_Studies,llama,2,Case_tailoring,24,0.545,0.498
Model_Workflow_Studies,llama,2,Missing_data_concordance,5,0.114,0.317
