Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Workflow_Studies,gpt,1,Step_concordance,0.809
Model_Workflow_Studies,gpt,1,Case_tailoring,0.085
Model_Workflow_Studies,gpt,1,Missing_data_concordance,0.128
Model_Alone,gpt,2,Completeness,0.596
Model_Alone,gpt,2,Step_concordance,0.511
Model_Alone,gpt,2,Case_tailoring,0.043
Model_Alone,gpt,2,Missing_data_concordance,0.085
Model_Studies,gpt,2,Completeness,0.745
Model_Studies,gpt,2,Step_concordance,0.553
Model_Studies,gpt,2,Case_tailoring,0.085
Model_Studies,gpt,2,Missing_data_concordance,0.085
Model_Workflow,gpt,2,Completeness,0.957
Model_Workflow,gpt,2,Step_concordance,0.872
Model_Workflow,gpt,2,Case_tailoring,0.085
Model_Workflow,gpt,2,Missing_data_concordance,0.17
Model_Workflow_Studies,gpt,2,Completeness,0.872
Model_Workflow_Studies,gpt,2,Step_concordance,0.809
Model_Workflow_Studies,gpt,2,Case_tailoring,0.0
Model_Workflow_Studies,gpt,2,Missing_data_concordance,0.128
Model_Alone,llama,0,Completeness,0.75
Model_Alone,llama,0,Step_concordance,0.5
Model_Alone,llama,0,Case_tailoring,0.574
Model_Alone,llama,0,Missing_data_concordance,0.059
Model_Studies,llama,0,Completeness,0.838
Model_Studies,llama,0,Step_concordance,0.5
Model_Studies,llama,0,Case_tailoring,0.574
Model_Studies,llama,0,Missing_data_concordance,0.029
Model_Workflow,llama,0,Completeness,1.0
Model_Workflow,llama,0,Step_concordance,0.647
Model_Workflow,llama,0,Case_tailoring,0.794
Model_Workflow,llama,0,Missing_data_concordance,0.088
Model_Workflow_Studies,llama,0,Completeness,0.941
Model_Workflow_Studies,llama,0,Step_concordance,0.574
Model_Workflow_Studies,llama,0,Case_tailoring,0.735
Model_Workflow_Studies,llama,0,Missing_data_concordance,0.118
Model_Alone,llama,1,Completeness,0.779
Model_Alone,llama,1,Step_concordance,0.485
Model_Alone,llama,1,Case_tailoring,0.559
Model_Alone,llama,1,Missing_data_concordance,0.044
Model_Studies,llama,1,Completeness,0.809
Model_Studies,llama,1,Step_concordance,0.5
Model_Studies,llama,1,Case_tailoring,0.544
Model_Studies,llama,1,Missing_data_concordance,0.0
Model_Workflow,llama,1,Completeness,1.0
Model_Workflow,llama,1,Step_concordance,0.618
Model_Workflow,llama,1,Case_tailoring,0.75
Model_Workflow,llama,1,Missing_data_concordance,0.103
Model_Workflow_Studies,llama,1,Completeness,0.941
Model_Workflow_Studies,llama,1,Step_concordance,0.588
Model_Workflow_Studies,llama,1,Case_tailoring,0.765
Model_Workflow_Studies,llama,1,Missing_data_concordance,0.088
Model_Alone,llama,2,Completeness,0.75
Model_Alone,llama,2,Step_concordance,0.515
Model_Alone,llama,2,Case_tailoring,0.574
Model_Alone,llama,2,Missing_data_concordance,0.044
Model_Studies,llama,2,Completeness,0.794
Model_Studies,llama,2,Step_concordance,0.515
Model_Studies,llama,2,Case_tailoring,0.559
Model_Studies,llama,2,Missing_data_concordance,0.0
Model_Workflow,llama,2,Completeness,1.0
Model_Workflow,llama,2,Step_concordance,0.647
Model_Workflow,llama,2,Case_tailoring,0.75
Model_Workflow,llama,2,Missing_data_concordance,0.103
Model_Workflow_Studies,llama,2,Completeness,0.941
Model_Workflow_Studies,llama,2,Step_concordance,0.559
Model_Workflow_Studies,llama,2,Case_tailoring,0.75
Model_Workflow_Studies,llama,2,Missing_data_concordance,0.074
