Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Workflow_Studies,gpt,1,Completeness,0.72
Model_Workflow_Studies,gpt,1,Step_concordance,0.56
Model_Workflow_Studies,gpt,1,Case_tailoring,0.12
Model_Workflow_Studies,gpt,1,Missing_data_concordance,0.201
Model_Alone,gpt,2,Completeness,0.56
Model_Alone,gpt,2,Step_concordance,0.44
Model_Alone,gpt,2,Case_tailoring,0.04
Model_Alone,gpt,2,Missing_data_concordance,0.04
Model_Studies,gpt,2,Completeness,0.641
Model_Studies,gpt,2,Step_concordance,0.521
Model_Studies,gpt,2,Case_tailoring,0.28
Model_Studies,gpt,2,Missing_data_concordance,0.081
Model_Workflow,gpt,2,Completeness,1.0
Model_Workflow,gpt,2,Step_concordance,0.921
Model_Workflow,gpt,2,Case_tailoring,0.04
Model_Workflow,gpt,2,Missing_data_concordance,0.04
Model_Workflow_Studies,gpt,2,Completeness,0.681
Model_Workflow_Studies,gpt,2,Step_concordance,0.72
Model_Workflow_Studies,gpt,2,Case_tailoring,0.0
Model_Workflow_Studies,gpt,2,Missing_data_concordance,0.16
Model_Alone,llama,0,Completeness,0.666
Model_Alone,llama,0,Step_concordance,0.528
Model_Alone,llama,0,Case_tailoring,0.528
Model_Alone,llama,0,Missing_data_concordance,0.0
Model_Studies,llama,0,Completeness,0.806
Model_Studies,llama,0,Step_concordance,0.528
Model_Studies,llama,0,Case_tailoring,0.611
Model_Studies,llama,0,Missing_data_concordance,0.028
Model_Workflow,llama,0,Completeness,1.0
Model_Workflow,llama,0,Step_concordance,0.778
Model_Workflow,llama,0,Case_tailoring,0.889
Model_Workflow,llama,0,Missing_data_concordance,0.139
Model_Workflow_Studies,llama,0,Completeness,0.889
Model_Workflow_Studies,llama,0,Step_concordance,0.528
Model_Workflow_Studies,llama,0,Case_tailoring,0.639
Model_Workflow_Studies,llama,0,Missing_data_concordance,0.166
Model_Alone,llama,1,Completeness,0.722
Model_Alone,llama,1,Step_concordance,0.528
Model_Alone,llama,1,Case_tailoring,0.556
Model_Alone,llama,1,Missing_data_concordance,0.0
Model_Studies,llama,1,Completeness,0.778
Model_Studies,llama,1,Step_concordance,0.528
Model_Studies,llama,1,Case_tailoring,0.583
Model_Studies,llama,1,Missing_data_concordance,0.028
Model_Workflow,llama,1,Completeness,1.0
Model_Workflow,llama,1,Step_concordance,0.778
Model_Workflow,llama,1,Case_tailoring,0.862
Model_Workflow,llama,1,Missing_data_concordance,0.194
Model_Workflow_Studies,llama,1,Completeness,0.862
Model_Workflow_Studies,llama,1,Step_concordance,0.556
Model_Workflow_Studies,llama,1,Case_tailoring,0.611
Model_Workflow_Studies,llama,1,Missing_data_concordance,0.166
Model_Alone,llama,2,Completeness,0.666
Model_Alone,llama,2,Step_concordance,0.528
Model_Alone,llama,2,Case_tailoring,0.528
Model_Alone,llama,2,Missing_data_concordance,0.0
Model_Studies,llama,2,Completeness,0.751
Model_Studies,llama,2,Step_concordance,0.528
Model_Studies,llama,2,Case_tailoring,0.583
Model_Studies,llama,2,Missing_data_concordance,0.028
Model_Workflow,llama,2,Completeness,1.0
Model_Workflow,llama,2,Step_concordance,0.778
Model_Workflow,llama,2,Case_tailoring,0.834
Model_Workflow,llama,2,Missing_data_concordance,0.194
Model_Workflow_Studies,llama,2,Completeness,0.862
Model_Workflow_Studies,llama,2,Step_concordance,0.556
Model_Workflow_Studies,llama,2,Case_tailoring,0.666
Model_Workflow_Studies,llama,2,Missing_data_concordance,0.139
