judge;criterion;comparison;mean_1;mean_2;interquartile_1;interquartile_2;mean_diff;p_raw;p_holm;significant
gpt;Missing_data_concordance;Model_Studies vs Model_Workflow;5;4;[4, 5];[4, 5];0.245;0.007110250916618586;0.04266150549971152;True
gpt;Missing_data_concordance;Model_Studies vs Model_Workflow_Studies;5;5;[4, 5];[4, 5];0.036;0.7213435944112934;1.0;False
gpt;Missing_data_concordance;Model_Workflow vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.209;0.0184510498138858;0.092255249069429;False
gpt;MDT_Decision_Concordance;Model_Alone vs Model_Studies;4;4;[3, 5];[4, 5];-0.082;0.24379056329403204;0.5044810462513198;False
gpt;MDT_Decision_Concordance;Model_Alone vs Model_Workflow;4;5;[3, 5];[4, 5];-0.118;0.16816034875043995;0.5044810462513198;False
gpt;MDT_Decision_Concordance;Model_Alone vs Model_Workflow_Studies;4;5;[3, 5];[4, 5];-0.236;0.0034290482600277663;0.020574289560166596;True
gpt;MDT_Decision_Concordance;Model_Studies vs Model_Workflow;4;5;[4, 5];[4, 5];-0.036;0.7074006373847428;0.7074006373847428;False
gpt;MDT_Decision_Concordance;Model_Studies vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.155;0.01880710166283665;0.09403550831418325;False
gpt;MDT_Decision_Concordance;Model_Workflow vs Model_Workflow_Studies;5;5;[4, 5];[4, 5];-0.118;0.10081728052458483;0.4032691220983393;False
llama;Missing_data_concordance;Model_Alone vs Model_Studies;4;5;[4, 5];[4, 5];-0.273;0.006153487831360098;0.03692092698816059;True
llama;Missing_data_concordance;Model_Alone vs Model_Workflow;4;4;[4, 5];[4, 5];-0.136;0.13740921655962246;0.4122276496788674;False
llama;Missing_data_concordance;Model_Alone vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.218;0.01352908854334956;0.0676454427167478;False
llama;Missing_data_concordance;Model_Studies vs Model_Workflow;5;4;[4, 5];[4, 5];0.136;0.06176821295657418;0.2470728518262967;False
llama;Missing_data_concordance;Model_Studies vs Model_Workflow_Studies;5;5;[4, 5];[4, 5];0.055;0.2701492944544326;0.4690587594965223;False
llama;Missing_data_concordance;Model_Workflow vs Model_Workflow_Studies;4;5;[4, 5];[4, 5];-0.082;0.23452937974826116;0.4690587594965223;False
