Approach;Criterion;Category;NValues;Mean;STD
WF-RAG-LLM;Completeness;Liver Recurrences After Surgery;13;0.88;0.054
WF-RAG-LLM;Completeness;Molecular Cases and Complex Situations;25;0.898;0.056
WF-RAG-LLM;Completeness;Sync. LM Post-Chemo Resectable;10;0.891;0.078
WF-RAG-LLM;Completeness;LM with Extra-Hepatic Disease;12;0.802;0.042
WF-RAG-LLM;Completeness;Metastases After Chemotherapy;10;0.774;0.03
WF-RAG-LLM;Completeness;Metachronous LM;15;1.0;0.0
WF-RAG-LLM;Completeness;Sync. Resectable LM;15;0.954;0.036
WF-RAG-LLM;Completeness;Anatomical Resectability;10;0.896;0.05
WF-RAG-LLM;Step_concordance;Liver Recurrences After Surgery;13;0.575;0.116
WF-RAG-LLM;Step_concordance;Molecular Cases and Complex Situations;25;0.562;0.102
WF-RAG-LLM;Step_concordance;Sync. LM Post-Chemo Resectable;10;0.618;0.108
WF-RAG-LLM;Step_concordance;LM with Extra-Hepatic Disease;12;0.414;0.115
WF-RAG-LLM;Step_concordance;Metastases After Chemotherapy;10;0.449;0.067
WF-RAG-LLM;Step_concordance;Metachronous LM;15;0.844;0.113
WF-RAG-LLM;Step_concordance;Sync. Resectable LM;15;0.652;0.107
WF-RAG-LLM;Step_concordance;Anatomical Resectability;10;0.586;0.08
WF-RAG-LLM;Case_tailoring;Liver Recurrences After Surgery;13;0.797;0.099
WF-RAG-LLM;Case_tailoring;Molecular Cases and Complex Situations;25;0.811;0.09
WF-RAG-LLM;Case_tailoring;Sync. LM Post-Chemo Resectable;10;0.791;0.099
WF-RAG-LLM;Case_tailoring;LM with Extra-Hepatic Disease;12;0.678;0.059
WF-RAG-LLM;Case_tailoring;Metastases After Chemotherapy;10;0.618;0.108
WF-RAG-LLM;Case_tailoring;Metachronous LM;15;0.932;0.096
WF-RAG-LLM;Case_tailoring;Sync. Resectable LM;15;0.876;0.14
WF-RAG-LLM;Case_tailoring;Anatomical Resectability;10;0.835;0.038
WF-RAG-LLM;Missing_data_concordance;Liver Recurrences After Surgery;13;0.642;0.119
WF-RAG-LLM;Missing_data_concordance;Molecular Cases and Complex Situations;25;0.554;0.087
WF-RAG-LLM;Missing_data_concordance;Sync. LM Post-Chemo Resectable;10;0.623;0.051
WF-RAG-LLM;Missing_data_concordance;LM with Extra-Hepatic Disease;12;0.728;0.07
WF-RAG-LLM;Missing_data_concordance;Metastases After Chemotherapy;10;0.573;0.067
WF-RAG-LLM;Missing_data_concordance;Metachronous LM;15;0.684;0.126
WF-RAG-LLM;Missing_data_concordance;Sync. Resectable LM;15;0.63;0.112
WF-RAG-LLM;Missing_data_concordance;Anatomical Resectability;10;0.538;0.155
WF-RAG-LLM;MDT_Decision_Concordance;Liver Recurrences After Surgery;13;0.704;0.085
WF-RAG-LLM;MDT_Decision_Concordance;Molecular Cases and Complex Situations;25;0.627;0.138
WF-RAG-LLM;MDT_Decision_Concordance;Sync. LM Post-Chemo Resectable;10;0.741;0.125
WF-RAG-LLM;MDT_Decision_Concordance;LM with Extra-Hepatic Disease;12;0.485;0.081
WF-RAG-LLM;MDT_Decision_Concordance;Metastases After Chemotherapy;10;0.523;0.096
WF-RAG-LLM;MDT_Decision_Concordance;Metachronous LM;15;0.895;0.096
WF-RAG-LLM;MDT_Decision_Concordance;Sync. Resectable LM;15;0.721;0.132
WF-RAG-LLM;MDT_Decision_Concordance;Anatomical Resectability;10;0.655;0.097
