Category;Criterion;Approach;Mean score
Sync. LM Post-Chemo Resectable;Missing_data_concordance;WF-RAG-LLM;4.333 (0.236)
Sync. LM Post-Chemo Resectable;MDT_Decision_Concordance;LLM-baseline;4.067 (0.613)
Sync. LM Post-Chemo Resectable;MDT_Decision_Concordance;RAG-LLM;4.233 (0.624)
Sync. LM Post-Chemo Resectable;MDT_Decision_Concordance;WF-LLM;4.267 (0.531)
Sync. LM Post-Chemo Resectable;MDT_Decision_Concordance;WF-RAG-LLM;4.5 (0.356)
Sync. Resectable LM;Completeness;LLM-baseline;4.8 (0.237)
Sync. Resectable LM;Completeness;RAG-LLM;4.733 (0.144)
Sync. Resectable LM;Completeness;WF-LLM;4.711 (0.314)
Sync. Resectable LM;Completeness;WF-RAG-LLM;4.911 (0.083)
Sync. Resectable LM;Step_concordance;LLM-baseline;4.422 (0.463)
Sync. Resectable LM;Step_concordance;RAG-LLM;4.045 (0.328)
Sync. Resectable LM;Step_concordance;WF-LLM;4.045 (0.517)
Sync. Resectable LM;Step_concordance;WF-RAG-LLM;4.355 (0.328)
Sync. Resectable LM;Case_tailoring;LLM-baseline;4.711 (0.319)
Sync. Resectable LM;Case_tailoring;RAG-LLM;4.489 (0.394)
Sync. Resectable LM;Case_tailoring;WF-LLM;4.533 (0.432)
Sync. Resectable LM;Case_tailoring;WF-RAG-LLM;4.733 (0.331)
Sync. Resectable LM;Missing_data_concordance;LLM-baseline;4.045 (0.412)
Sync. Resectable LM;Missing_data_concordance;RAG-LLM;4.133 (0.288)
Sync. Resectable LM;Missing_data_concordance;WF-LLM;4.156 (0.35)
Sync. Resectable LM;Missing_data_concordance;WF-RAG-LLM;4.311 (0.371)
Sync. Resectable LM;MDT_Decision_Concordance;LLM-baseline;4.556 (0.494)
Sync. Resectable LM;MDT_Decision_Concordance;RAG-LLM;4.222 (0.401)
Sync. Resectable LM;MDT_Decision_Concordance;WF-LLM;4.333 (0.662)
Sync. Resectable LM;MDT_Decision_Concordance;WF-RAG-LLM;4.466 (0.377)
