;Approach;Label;Metric;Mean;STD;Median;Percentiles_25-75
70;RAG-LLM;Biomarker;Levenshtein;0.58;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
71;RAG-LLM;Biomarker_Result;Levenshtein;0.68;0.46;1.0;[np.float64(0.0), np.float64(1.0)]
72;RAG-LLM;Cancer_Surgery;Levenshtein;0.21;0.28;0.11;[np.float64(0.0), np.float64(0.33)]
73;RAG-LLM;Grade;Levenshtein;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
74;RAG-LLM;Histological_Type;Levenshtein;0.89;0.31;1.0;[np.float64(1.0), np.float64(1.0)]
75;RAG-LLM;Imaging_Test;Levenshtein;0.52;0.5;1.0;[np.float64(0.0), np.float64(1.0)]
76;RAG-LLM;Invasion;Levenshtein;0.3;0.43;0.0;[np.float64(0.0), np.float64(0.82)]
77;RAG-LLM;Metastasis;Levenshtein;0.62;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
78;RAG-LLM;Oncogene;Levenshtein;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
79;RAG-LLM;Response_To_Treatment;Levenshtein;0.71;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
80;RAG-LLM;Staging;Levenshtein;0.65;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
81;RAG-LLM;Therapy;Levenshtein;0.65;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
82;RAG-LLM;Tumor_Finding;Levenshtein;0.41;0.47;0.0;[np.float64(0.0), np.float64(1.0)]
83;RAG-LLM;Tumor_Size;Levenshtein;0.46;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
84;WF-LLM;Biomarker;Levenshtein;0.68;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
85;WF-LLM;Biomarker_Result;Levenshtein;0.64;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
86;WF-LLM;Cancer_Surgery;Levenshtein;0.23;0.31;0.0;[np.float64(0.0), np.float64(0.38)]
87;WF-LLM;Grade;Levenshtein;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
88;WF-LLM;Histological_Type;Levenshtein;0.92;0.27;1.0;[np.float64(1.0), np.float64(1.0)]
89;WF-LLM;Imaging_Test;Levenshtein;0.62;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
90;WF-LLM;Invasion;Levenshtein;0.24;0.39;0.0;[np.float64(0.0), np.float64(0.36)]
91;WF-LLM;Metastasis;Levenshtein;0.45;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
92;WF-LLM;Oncogene;Levenshtein;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
93;WF-LLM;Response_To_Treatment;Levenshtein;0.74;0.44;1.0;[np.float64(0.06), np.float64(1.0)]
94;WF-LLM;Staging;Levenshtein;0.83;0.38;1.0;[np.float64(1.0), np.float64(1.0)]
95;WF-LLM;Therapy;Levenshtein;0.73;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
96;WF-LLM;Tumor_Finding;Levenshtein;0.49;0.47;0.52;[np.float64(0.0), np.float64(1.0)]
97;WF-LLM;Tumor_Size;Levenshtein;0.44;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
98;WF-RAG-LLM;Biomarker;Levenshtein;0.65;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
99;WF-RAG-LLM;Biomarker_Result;Levenshtein;0.62;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
100;WF-RAG-LLM;Cancer_Surgery;Levenshtein;0.23;0.28;0.16;[np.float64(0.0), np.float64(0.31)]
101;WF-RAG-LLM;Grade;Levenshtein;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
102;WF-RAG-LLM;Histological_Type;Levenshtein;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
103;WF-RAG-LLM;Imaging_Test;Levenshtein;0.7;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
104;WF-RAG-LLM;Invasion;Levenshtein;0.2;0.37;0.0;[np.float64(0.0), np.float64(0.22)]
105;WF-RAG-LLM;Metastasis;Levenshtein;0.43;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
106;WF-RAG-LLM;Oncogene;Levenshtein;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
107;WF-RAG-LLM;Response_To_Treatment;Levenshtein;0.74;0.44;1.0;[np.float64(0.03), np.float64(1.0)]
108;WF-RAG-LLM;Staging;Levenshtein;0.75;0.43;1.0;[np.float64(0.43), np.float64(1.0)]
109;WF-RAG-LLM;Therapy;Levenshtein;0.76;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
110;WF-RAG-LLM;Tumor_Finding;Levenshtein;0.55;0.48;0.86;[np.float64(0.0), np.float64(1.0)]
111;WF-RAG-LLM;Tumor_Size;Levenshtein;0.43;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
112;LLM-baseline;Biomarker;Exact_Match_P;0.64;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
113;LLM-baseline;Biomarker_Result;Exact_Match_P;0.71;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
114;LLM-baseline;Cancer_Surgery;Exact_Match_P;0.1;0.29;0.0;[np.float64(0.0), np.float64(0.0)]
115;LLM-baseline;Grade;Exact_Match_P;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
116;LLM-baseline;Histological_Type;Exact_Match_P;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
117;LLM-baseline;Imaging_Test;Exact_Match_P;0.39;0.48;0.0;[np.float64(0.0), np.float64(1.0)]
118;LLM-baseline;Invasion;Exact_Match_P;0.19;0.39;0.0;[np.float64(0.0), np.float64(0.0)]
119;LLM-baseline;Metastasis;Exact_Match_P;0.48;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
120;LLM-baseline;Oncogene;Exact_Match_P;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
121;LLM-baseline;Response_To_Treatment;Exact_Match_P;0.72;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
122;LLM-baseline;Staging;Exact_Match_P;0.77;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
123;LLM-baseline;Therapy;Exact_Match_P;0.68;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
124;LLM-baseline;Tumor_Finding;Exact_Match_P;0.43;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
125;LLM-baseline;Tumor_Size;Exact_Match_P;0.47;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
126;RAG-LLM;Biomarker;Exact_Match_P;0.57;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
127;RAG-LLM;Biomarker_Result;Exact_Match_P;0.68;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
128;RAG-LLM;Cancer_Surgery;Exact_Match_P;0.05;0.22;0.0;[np.float64(0.0), np.float64(0.0)]
129;RAG-LLM;Grade;Exact_Match_P;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
130;RAG-LLM;Histological_Type;Exact_Match_P;0.89;0.31;1.0;[np.float64(1.0), np.float64(1.0)]
131;RAG-LLM;Imaging_Test;Exact_Match_P;0.52;0.5;1.0;[np.float64(0.0), np.float64(1.0)]
132;RAG-LLM;Invasion;Exact_Match_P;0.25;0.43;0.0;[np.float64(0.0), np.float64(0.0)]
133;RAG-LLM;Metastasis;Exact_Match_P;0.56;0.5;1.0;[np.float64(0.0), np.float64(1.0)]
134;RAG-LLM;Oncogene;Exact_Match_P;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
135;RAG-LLM;Response_To_Treatment;Exact_Match_P;0.7;0.46;1.0;[np.float64(0.0), np.float64(1.0)]
136;RAG-LLM;Staging;Exact_Match_P;0.65;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
137;RAG-LLM;Therapy;Exact_Match_P;0.65;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
138;RAG-LLM;Tumor_Finding;Exact_Match_P;0.35;0.48;0.0;[np.float64(0.0), np.float64(1.0)]
139;RAG-LLM;Tumor_Size;Exact_Match_P;0.45;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
140;WF-LLM;Biomarker;Exact_Match_P;0.68;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
141;WF-LLM;Biomarker_Result;Exact_Match_P;0.61;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
142;WF-LLM;Cancer_Surgery;Exact_Match_P;0.07;0.25;0.0;[np.float64(0.0), np.float64(0.0)]
143;WF-LLM;Grade;Exact_Match_P;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
144;WF-LLM;Histological_Type;Exact_Match_P;0.92;0.27;1.0;[np.float64(1.0), np.float64(1.0)]
145;WF-LLM;Imaging_Test;Exact_Match_P;0.61;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
146;WF-LLM;Invasion;Exact_Match_P;0.19;0.39;0.0;[np.float64(0.0), np.float64(0.0)]
147;WF-LLM;Metastasis;Exact_Match_P;0.45;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
148;WF-LLM;Oncogene;Exact_Match_P;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
149;WF-LLM;Response_To_Treatment;Exact_Match_P;0.74;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
150;WF-LLM;Staging;Exact_Match_P;0.82;0.38;1.0;[np.float64(1.0), np.float64(1.0)]
151;WF-LLM;Therapy;Exact_Match_P;0.73;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
152;WF-LLM;Tumor_Finding;Exact_Match_P;0.38;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
153;WF-LLM;Tumor_Size;Exact_Match_P;0.44;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
154;WF-RAG-LLM;Biomarker;Exact_Match_P;0.65;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
155;WF-RAG-LLM;Biomarker_Result;Exact_Match_P;0.59;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
156;WF-RAG-LLM;Cancer_Surgery;Exact_Match_P;0.05;0.21;0.0;[np.float64(0.0), np.float64(0.0)]
157;WF-RAG-LLM;Grade;Exact_Match_P;0.99;0.09;1.0;[np.float64(1.0), np.float64(1.0)]
158;WF-RAG-LLM;Histological_Type;Exact_Match_P;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
159;WF-RAG-LLM;Imaging_Test;Exact_Match_P;0.7;0.46;1.0;[np.float64(0.0), np.float64(1.0)]
160;WF-RAG-LLM;Invasion;Exact_Match_P;0.15;0.35;0.0;[np.float64(0.0), np.float64(0.0)]
161;WF-RAG-LLM;Metastasis;Exact_Match_P;0.42;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
162;WF-RAG-LLM;Oncogene;Exact_Match_P;1.0;0.0;1.0;[np.float64(1.0), np.float64(1.0)]
163;WF-RAG-LLM;Response_To_Treatment;Exact_Match_P;0.74;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
164;WF-RAG-LLM;Staging;Exact_Match_P;0.74;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
165;WF-RAG-LLM;Therapy;Exact_Match_P;0.76;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
166;WF-RAG-LLM;Tumor_Finding;Exact_Match_P;0.47;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
167;WF-RAG-LLM;Tumor_Size;Exact_Match_P;0.41;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
