;Approach;Label;Metric;Mean;STD;Median;Percentiles_25-75
36;WF-LLM;Oncogene;TSR;82.73;37.8;100.0;[np.float64(100.0), np.float64(100.0)]
37;WF-LLM;Response_To_Treatment;TSR;34.17;40.3;0.0;[np.float64(0.0), np.float64(65.0)]
38;WF-LLM;Staging;TSR;61.26;47.44;100.0;[np.float64(0.0), np.float64(100.0)]
39;WF-LLM;Therapy;TSR;41.19;42.34;28.0;[np.float64(0.0), np.float64(79.33)]
40;WF-LLM;Tumor_Finding;TSR;63.31;41.09;92.0;[np.float64(18.75), np.float64(100.0)]
41;WF-LLM;Tumor_Size;TSR;80.11;39.8;100.0;[np.float64(100.0), np.float64(100.0)]
42;WF-RAG-LLM;Biomarker;TSR;31.75;38.49;20.0;[np.float64(0.0), np.float64(33.0)]
43;WF-RAG-LLM;Biomarker_Result;TSR;79.23;40.42;100.0;[np.float64(100.0), np.float64(100.0)]
44;WF-RAG-LLM;Cancer_Surgery;TSR;28.52;40.82;0.0;[np.float64(0.0), np.float64(54.88)]
45;WF-RAG-LLM;Grade;TSR;68.76;45.92;100.0;[np.float64(0.0), np.float64(100.0)]
46;WF-RAG-LLM;Histological_Type;TSR;90.0;30.0;100.0;[np.float64(100.0), np.float64(100.0)]
47;WF-RAG-LLM;Imaging_Test;TSR;47.81;44.53;54.5;[np.float64(0.0), np.float64(100.0)]
48;WF-RAG-LLM;Invasion;TSR;19.06;34.29;0.0;[np.float64(0.0), np.float64(27.75)]
49;WF-RAG-LLM;Metastasis;TSR;58.08;38.5;62.0;[np.float64(0.0), np.float64(90.0)]
50;WF-RAG-LLM;Oncogene;TSR;88.18;32.28;100.0;[np.float64(100.0), np.float64(100.0)]
51;WF-RAG-LLM;Response_To_Treatment;TSR;33.14;37.44;0.0;[np.float64(0.0), np.float64(64.0)]
52;WF-RAG-LLM;Staging;TSR;50.93;48.01;57.0;[np.float64(0.0), np.float64(100.0)]
53;WF-RAG-LLM;Therapy;TSR;51.36;42.33;64.0;[np.float64(0.0), np.float64(100.0)]
54;WF-RAG-LLM;Tumor_Finding;TSR;59.79;42.1;75.5;[np.float64(3.75), np.float64(100.0)]
55;WF-RAG-LLM;Tumor_Size;TSR;83.64;36.99;100.0;[np.float64(100.0), np.float64(100.0)]
56;LLM-baseline;Biomarker;Levenshtein;0.13;0.26;0.0;[np.float64(0.0), np.float64(0.17)]
57;LLM-baseline;Biomarker_Result;Levenshtein;0.76;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
58;LLM-baseline;Cancer_Surgery;Levenshtein;0.34;0.42;0.0;[np.float64(0.0), np.float64(0.86)]
59;LLM-baseline;Grade;Levenshtein;0.87;0.33;1.0;[np.float64(1.0), np.float64(1.0)]
60;LLM-baseline;Histological_Type;Levenshtein;0.94;0.24;1.0;[np.float64(1.0), np.float64(1.0)]
61;LLM-baseline;Imaging_Test;Levenshtein;0.23;0.31;0.08;[np.float64(0.0), np.float64(0.33)]
62;LLM-baseline;Invasion;Levenshtein;0.36;0.47;0.0;[np.float64(0.0), np.float64(1.0)]
63;LLM-baseline;Metastasis;Levenshtein;0.61;0.38;0.9;[np.float64(0.44), np.float64(0.9)]
64;LLM-baseline;Oncogene;Levenshtein;0.93;0.25;1.0;[np.float64(1.0), np.float64(1.0)]
65;LLM-baseline;Response_To_Treatment;Levenshtein;0.4;0.45;0.16;[np.float64(0.0), np.float64(1.0)]
66;LLM-baseline;Staging;Levenshtein;0.43;0.48;0.0;[np.float64(0.0), np.float64(1.0)]
67;LLM-baseline;Therapy;Levenshtein;0.29;0.4;0.0;[np.float64(0.0), np.float64(0.57)]
68;LLM-baseline;Tumor_Finding;Levenshtein;0.61;0.33;0.65;[np.float64(0.4), np.float64(0.93)]
69;LLM-baseline;Tumor_Size;Levenshtein;0.76;0.43;1.0;[np.float64(1.0), np.float64(1.0)]
70;RAG-LLM;Biomarker;Levenshtein;0.14;0.26;0.0;[np.float64(0.0), np.float64(0.17)]
71;RAG-LLM;Biomarker_Result;Levenshtein;0.73;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
72;RAG-LLM;Cancer_Surgery;Levenshtein;0.2;0.33;0.0;[np.float64(0.0), np.float64(0.29)]
73;RAG-LLM;Grade;Levenshtein;0.86;0.34;1.0;[np.float64(1.0), np.float64(1.0)]
74;RAG-LLM;Histological_Type;Levenshtein;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
75;RAG-LLM;Imaging_Test;Levenshtein;0.26;0.31;0.21;[np.float64(0.0), np.float64(0.33)]
76;RAG-LLM;Invasion;Levenshtein;0.37;0.46;0.0;[np.float64(0.0), np.float64(1.0)]
77;RAG-LLM;Metastasis;Levenshtein;0.54;0.39;0.5;[np.float64(0.0), np.float64(0.9)]
78;RAG-LLM;Oncogene;Levenshtein;0.85;0.36;1.0;[np.float64(1.0), np.float64(1.0)]
79;RAG-LLM;Response_To_Treatment;Levenshtein;0.39;0.44;0.16;[np.float64(0.0), np.float64(1.0)]
80;RAG-LLM;Staging;Levenshtein;0.32;0.45;0.0;[np.float64(0.0), np.float64(1.0)]
81;RAG-LLM;Therapy;Levenshtein;0.33;0.39;0.03;[np.float64(0.0), np.float64(0.57)]
82;RAG-LLM;Tumor_Finding;Levenshtein;0.57;0.34;0.58;[np.float64(0.31), np.float64(0.89)]
83;RAG-LLM;Tumor_Size;Levenshtein;0.74;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
84;WF-LLM;Biomarker;Levenshtein;0.26;0.38;0.0;[np.float64(0.0), np.float64(0.33)]
85;WF-LLM;Biomarker_Result;Levenshtein;0.75;0.43;1.0;[np.float64(0.55), np.float64(1.0)]
86;WF-LLM;Cancer_Surgery;Levenshtein;0.25;0.38;0.0;[np.float64(0.0), np.float64(0.41)]
87;WF-LLM;Grade;Levenshtein;0.49;0.5;0.1;[np.float64(0.0), np.float64(1.0)]
88;WF-LLM;Histological_Type;Levenshtein;0.85;0.35;1.0;[np.float64(1.0), np.float64(1.0)]
89;WF-LLM;Imaging_Test;Levenshtein;0.24;0.31;0.11;[np.float64(0.0), np.float64(0.36)]
90;WF-LLM;Invasion;Levenshtein;0.21;0.36;0.0;[np.float64(0.0), np.float64(0.36)]
91;WF-LLM;Metastasis;Levenshtein;0.56;0.39;0.51;[np.float64(0.0), np.float64(0.9)]
92;WF-LLM;Oncogene;Levenshtein;0.83;0.38;1.0;[np.float64(1.0), np.float64(1.0)]
93;WF-LLM;Response_To_Treatment;Levenshtein;0.28;0.38;0.0;[np.float64(0.0), np.float64(0.44)]
94;WF-LLM;Staging;Levenshtein;0.6;0.48;1.0;[np.float64(0.0), np.float64(1.0)]
95;WF-LLM;Therapy;Levenshtein;0.36;0.4;0.09;[np.float64(0.0), np.float64(0.57)]
96;WF-LLM;Tumor_Finding;Levenshtein;0.5;0.35;0.57;[np.float64(0.15), np.float64(0.78)]
97;WF-LLM;Tumor_Size;Levenshtein;0.8;0.4;1.0;[np.float64(1.0), np.float64(1.0)]
98;WF-RAG-LLM;Biomarker;Levenshtein;0.28;0.4;0.0;[np.float64(0.0), np.float64(0.33)]
99;WF-RAG-LLM;Biomarker_Result;Levenshtein;0.78;0.41;1.0;[np.float64(1.0), np.float64(1.0)]
100;WF-RAG-LLM;Cancer_Surgery;Levenshtein;0.25;0.38;0.0;[np.float64(0.0), np.float64(0.39)]
101;WF-RAG-LLM;Grade;Levenshtein;0.68;0.46;1.0;[np.float64(0.0), np.float64(1.0)]
102;WF-RAG-LLM;Histological_Type;Levenshtein;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
103;WF-RAG-LLM;Imaging_Test;Levenshtein;0.25;0.29;0.18;[np.float64(0.0), np.float64(0.44)]
104;WF-RAG-LLM;Invasion;Levenshtein;0.17;0.33;0.0;[np.float64(0.0), np.float64(0.09)]
105;WF-RAG-LLM;Metastasis;Levenshtein;0.56;0.38;0.5;[np.float64(0.0), np.float64(0.9)]
106;WF-RAG-LLM;Oncogene;Levenshtein;0.88;0.32;1.0;[np.float64(1.0), np.float64(1.0)]
107;WF-RAG-LLM;Response_To_Treatment;Levenshtein;0.26;0.34;0.0;[np.float64(0.0), np.float64(0.44)]
108;WF-RAG-LLM;Staging;Levenshtein;0.48;0.48;0.29;[np.float64(0.0), np.float64(1.0)]
109;WF-RAG-LLM;Therapy;Levenshtein;0.45;0.4;0.56;[np.float64(0.0), np.float64(0.72)]
110;WF-RAG-LLM;Tumor_Finding;Levenshtein;0.47;0.35;0.55;[np.float64(0.0), np.float64(0.74)]
111;WF-RAG-LLM;Tumor_Size;Levenshtein;0.84;0.37;1.0;[np.float64(1.0), np.float64(1.0)]
112;LLM-baseline;Biomarker;Exact_Match_P;0.08;0.25;0.0;[np.float64(0.0), np.float64(0.0)]
113;LLM-baseline;Biomarker_Result;Exact_Match_P;0.76;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
114;LLM-baseline;Cancer_Surgery;Exact_Match_P;0.25;0.43;0.0;[np.float64(0.0), np.float64(0.0)]
115;LLM-baseline;Grade;Exact_Match_P;0.87;0.33;1.0;[np.float64(1.0), np.float64(1.0)]
116;LLM-baseline;Histological_Type;Exact_Match_P;0.94;0.24;1.0;[np.float64(1.0), np.float64(1.0)]
117;LLM-baseline;Imaging_Test;Exact_Match_P;0.08;0.26;0.0;[np.float64(0.0), np.float64(0.0)]
118;LLM-baseline;Invasion;Exact_Match_P;0.34;0.47;0.0;[np.float64(0.0), np.float64(1.0)]
119;LLM-baseline;Metastasis;Exact_Match_P;0.2;0.39;0.0;[np.float64(0.0), np.float64(0.0)]
120;LLM-baseline;Oncogene;Exact_Match_P;0.93;0.26;1.0;[np.float64(1.0), np.float64(1.0)]
121;LLM-baseline;Response_To_Treatment;Exact_Match_P;0.34;0.47;0.0;[np.float64(0.0), np.float64(1.0)]
122;LLM-baseline;Staging;Exact_Match_P;0.4;0.49;0.0;[np.float64(0.0), np.float64(1.0)]
123;LLM-baseline;Therapy;Exact_Match_P;0.2;0.4;0.0;[np.float64(0.0), np.float64(0.0)]
124;LLM-baseline;Tumor_Finding;Exact_Match_P;0.4;0.38;0.45;[np.float64(0.0), np.float64(0.67)]
125;LLM-baseline;Tumor_Size;Exact_Match_P;0.75;0.43;1.0;[np.float64(1.0), np.float64(1.0)]
126;RAG-LLM;Biomarker;Exact_Match_P;0.07;0.25;0.0;[np.float64(0.0), np.float64(0.0)]
127;RAG-LLM;Biomarker_Result;Exact_Match_P;0.73;0.45;1.0;[np.float64(0.0), np.float64(1.0)]
128;RAG-LLM;Cancer_Surgery;Exact_Match_P;0.12;0.32;0.0;[np.float64(0.0), np.float64(0.0)]
129;RAG-LLM;Grade;Exact_Match_P;0.86;0.34;1.0;[np.float64(1.0), np.float64(1.0)]
130;RAG-LLM;Histological_Type;Exact_Match_P;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
131;RAG-LLM;Imaging_Test;Exact_Match_P;0.07;0.25;0.0;[np.float64(0.0), np.float64(0.0)]
132;RAG-LLM;Invasion;Exact_Match_P;0.33;0.47;0.0;[np.float64(0.0), np.float64(1.0)]
133;RAG-LLM;Metastasis;Exact_Match_P;0.13;0.33;0.0;[np.float64(0.0), np.float64(0.0)]
134;RAG-LLM;Oncogene;Exact_Match_P;0.85;0.36;1.0;[np.float64(1.0), np.float64(1.0)]
135;RAG-LLM;Response_To_Treatment;Exact_Match_P;0.33;0.46;0.0;[np.float64(0.0), np.float64(1.0)]
136;RAG-LLM;Staging;Exact_Match_P;0.3;0.46;0.0;[np.float64(0.0), np.float64(1.0)]
137;RAG-LLM;Therapy;Exact_Match_P;0.19;0.39;0.0;[np.float64(0.0), np.float64(0.0)]
138;RAG-LLM;Tumor_Finding;Exact_Match_P;0.36;0.37;0.33;[np.float64(0.0), np.float64(0.5)]
139;RAG-LLM;Tumor_Size;Exact_Match_P;0.74;0.44;1.0;[np.float64(0.0), np.float64(1.0)]
140;WF-LLM;Biomarker;Exact_Match_P;0.21;0.4;0.0;[np.float64(0.0), np.float64(0.0)]
141;WF-LLM;Biomarker_Result;Exact_Match_P;0.75;0.44;1.0;[np.float64(0.25), np.float64(1.0)]
142;WF-LLM;Cancer_Surgery;Exact_Match_P;0.17;0.38;0.0;[np.float64(0.0), np.float64(0.0)]
143;WF-LLM;Grade;Exact_Match_P;0.48;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
144;WF-LLM;Histological_Type;Exact_Match_P;0.85;0.35;1.0;[np.float64(1.0), np.float64(1.0)]
145;WF-LLM;Imaging_Test;Exact_Match_P;0.07;0.24;0.0;[np.float64(0.0), np.float64(0.0)]
146;WF-LLM;Invasion;Exact_Match_P;0.15;0.35;0.0;[np.float64(0.0), np.float64(0.0)]
147;WF-LLM;Metastasis;Exact_Match_P;0.12;0.32;0.0;[np.float64(0.0), np.float64(0.0)]
148;WF-LLM;Oncogene;Exact_Match_P;0.83;0.38;1.0;[np.float64(1.0), np.float64(1.0)]
149;WF-LLM;Response_To_Treatment;Exact_Match_P;0.2;0.39;0.0;[np.float64(0.0), np.float64(0.0)]
150;WF-LLM;Staging;Exact_Match_P;0.57;0.49;1.0;[np.float64(0.0), np.float64(1.0)]
151;WF-LLM;Therapy;Exact_Match_P;0.22;0.4;0.0;[np.float64(0.0), np.float64(0.25)]
152;WF-LLM;Tumor_Finding;Exact_Match_P;0.29;0.36;0.0;[np.float64(0.0), np.float64(0.5)]
153;WF-LLM;Tumor_Size;Exact_Match_P;0.8;0.4;1.0;[np.float64(1.0), np.float64(1.0)]
154;WF-RAG-LLM;Biomarker;Exact_Match_P;0.23;0.41;0.0;[np.float64(0.0), np.float64(0.0)]
155;WF-RAG-LLM;Biomarker_Result;Exact_Match_P;0.77;0.42;1.0;[np.float64(1.0), np.float64(1.0)]
156;WF-RAG-LLM;Cancer_Surgery;Exact_Match_P;0.17;0.37;0.0;[np.float64(0.0), np.float64(0.0)]
157;WF-RAG-LLM;Grade;Exact_Match_P;0.68;0.47;1.0;[np.float64(0.0), np.float64(1.0)]
158;WF-RAG-LLM;Histological_Type;Exact_Match_P;0.9;0.3;1.0;[np.float64(1.0), np.float64(1.0)]
159;WF-RAG-LLM;Imaging_Test;Exact_Match_P;0.05;0.21;0.0;[np.float64(0.0), np.float64(0.0)]
160;WF-RAG-LLM;Invasion;Exact_Match_P;0.11;0.31;0.0;[np.float64(0.0), np.float64(0.0)]
161;WF-RAG-LLM;Metastasis;Exact_Match_P;0.12;0.32;0.0;[np.float64(0.0), np.float64(0.0)]
162;WF-RAG-LLM;Oncogene;Exact_Match_P;0.88;0.32;1.0;[np.float64(1.0), np.float64(1.0)]
163;WF-RAG-LLM;Response_To_Treatment;Exact_Match_P;0.16;0.34;0.0;[np.float64(0.0), np.float64(0.0)]
164;WF-RAG-LLM;Staging;Exact_Match_P;0.45;0.5;0.0;[np.float64(0.0), np.float64(1.0)]
165;WF-RAG-LLM;Therapy;Exact_Match_P;0.26;0.41;0.0;[np.float64(0.0), np.float64(0.5)]
166;WF-RAG-LLM;Tumor_Finding;Exact_Match_P;0.26;0.34;0.0;[np.float64(0.0), np.float64(0.5)]
167;WF-RAG-LLM;Tumor_Size;Exact_Match_P;0.84;0.37;1.0;[np.float64(1.0), np.float64(1.0)]
