Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Alone,gpt,0,Case_tailoring,11,0.11,0.313
Model_Alone,gpt,0,Missing_data_concordance,21,0.21,0.407
Model_Studies,gpt,0,Completeness,48,0.48,0.5
Model_Studies,gpt,0,Step_concordance,42,0.42,0.494
Model_Studies,gpt,0,Case_tailoring,12,0.12,0.325
Model_Studies,gpt,0,Missing_data_concordance,10,0.1,0.3
Model_Workflow,gpt,0,Completeness,55,0.55,0.497
Model_Workflow,gpt,0,Step_concordance,52,0.52,0.5
Model_Workflow,gpt,0,Case_tailoring,17,0.17,0.376
Model_Workflow,gpt,0,Missing_data_concordance,17,0.17,0.376
Model_Workflow_Studies,gpt,0,Completeness,59,0.59,0.492
Model_Workflow_Studies,gpt,0,Step_concordance,47,0.47,0.499
Model_Workflow_Studies,gpt,0,Case_tailoring,12,0.12,0.325
Model_Workflow_Studies,gpt,0,Missing_data_concordance,16,0.16,0.367
Model_Alone,gpt,1,Completeness,47,0.47,0.499
Model_Alone,gpt,1,Step_concordance,39,0.39,0.488
Model_Alone,gpt,1,Case_tailoring,11,0.11,0.313
Model_Alone,gpt,1,Missing_data_concordance,14,0.14,0.347
Model_Studies,gpt,1,Completeness,52,0.52,0.5
Model_Studies,gpt,1,Step_concordance,47,0.47,0.499
Model_Studies,gpt,1,Case_tailoring,16,0.16,0.367
Model_Studies,gpt,1,Missing_data_concordance,15,0.15,0.357
Model_Workflow,gpt,1,Completeness,48,0.48,0.5
Model_Workflow,gpt,1,Step_concordance,48,0.48,0.5
Model_Workflow,gpt,1,Case_tailoring,12,0.12,0.325
Model_Workflow,gpt,1,Missing_data_concordance,19,0.19,0.392
Model_Workflow_Studies,gpt,1,Completeness,50,0.5,0.5
Model_Workflow_Studies,gpt,1,Step_concordance,50,0.5,0.5
Model_Workflow_Studies,gpt,1,Case_tailoring,18,0.18,0.384
Model_Workflow_Studies,gpt,1,Missing_data_concordance,19,0.19,0.392
Model_Alone,gpt,2,Completeness,46,0.46,0.498
Model_Alone,gpt,2,Step_concordance,44,0.44,0.496
Model_Alone,gpt,2,Case_tailoring,8,0.08,0.271
Model_Alone,gpt,2,Missing_data_concordance,15,0.15,0.357
Model_Studies,gpt,2,Completeness,49,0.49,0.5
Model_Studies,gpt,2,Step_concordance,47,0.47,0.499
Model_Studies,gpt,2,Case_tailoring,13,0.13,0.336
Model_Studies,gpt,2,Missing_data_concordance,11,0.11,0.313
Model_Workflow,gpt,2,Completeness,52,0.52,0.5
Model_Workflow,gpt,2,Step_concordance,47,0.47,0.499
Model_Workflow,gpt,2,Case_tailoring,18,0.18,0.384
Model_Workflow,gpt,2,Missing_data_concordance,14,0.14,0.347
Model_Workflow_Studies,gpt,2,Completeness,51,0.51,0.5
Model_Workflow_Studies,gpt,2,Step_concordance,50,0.5,0.5
Model_Workflow_Studies,gpt,2,Case_tailoring,9,0.09,0.286
Model_Workflow_Studies,gpt,2,Missing_data_concordance,12,0.12,0.325
Model_Alone,llama,0,Completeness,66,0.66,0.474
Model_Alone,llama,0,Step_concordance,50,0.5,0.5
Model_Alone,llama,0,Case_tailoring,54,0.54,0.498
Model_Alone,llama,0,Missing_data_concordance,16,0.16,0.367
Model_Studies,llama,0,Completeness,70,0.7,0.458
Model_Studies,llama,0,Step_concordance,42,0.42,0.494
Model_Studies,llama,0,Case_tailoring,51,0.51,0.5
Model_Studies,llama,0,Missing_data_concordance,15,0.15,0.357
Model_Workflow,llama,0,Completeness,72,0.72,0.449
Model_Workflow,llama,0,Step_concordance,54,0.54,0.498
Model_Workflow,llama,0,Case_tailoring,60,0.6,0.49
Model_Workflow,llama,0,Missing_data_concordance,16,0.16,0.367
Model_Workflow_Studies,llama,0,Completeness,74,0.74,0.439
Model_Workflow_Studies,llama,0,Step_concordance,49,0.49,0.5
Model_Workflow_Studies,llama,0,Case_tailoring,58,0.58,0.494
Model_Workflow_Studies,llama,0,Missing_data_concordance,19,0.19,0.392
Model_Alone,llama,1,Completeness,66,0.66,0.474
Model_Alone,llama,1,Step_concordance,50,0.5,0.5
Model_Alone,llama,1,Case_tailoring,53,0.53,0.499
Model_Alone,llama,1,Missing_data_concordance,15,0.15,0.357
Model_Studies,llama,1,Completeness,69,0.69,0.462
Model_Studies,llama,1,Step_concordance,43,0.43,0.495
Model_Studies,llama,1,Case_tailoring,51,0.51,0.5
Model_Studies,llama,1,Missing_data_concordance,14,0.14,0.347
Model_Workflow,llama,1,Completeness,72,0.72,0.449
Model_Workflow,llama,1,Step_concordance,54,0.54,0.498
Model_Workflow,llama,1,Case_tailoring,61,0.61,0.488
Model_Workflow,llama,1,Missing_data_concordance,15,0.15,0.357
Model_Workflow_Studies,llama,1,Completeness,75,0.75,0.433
Model_Workflow_Studies,llama,1,Step_concordance,50,0.5,0.5
Model_Workflow_Studies,llama,1,Case_tailoring,61,0.61,0.488
Model_Workflow_Studies,llama,1,Missing_data_concordance,19,0.19,0.392
Model_Alone,llama,2,Completeness,66,0.66,0.474
Model_Alone,llama,2,Step_concordance,51,0.51,0.5
Model_Alone,llama,2,Case_tailoring,55,0.55,0.497
Model_Alone,llama,2,Missing_data_concordance,15,0.15,0.357
Model_Studies,llama,2,Completeness,68,0.68,0.466
Model_Studies,llama,2,Step_concordance,43,0.43,0.495
Model_Studies,llama,2,Case_tailoring,50,0.5,0.5
Model_Studies,llama,2,Missing_data_concordance,15,0.15,0.357
Model_Workflow,llama,2,Completeness,74,0.74,0.439
Model_Workflow,llama,2,Step_concordance,55,0.55,0.497
Model_Workflow,llama,2,Case_tailoring,63,0.63,0.483
Model_Workflow,llama,2,Missing_data_concordance,17,0.17,0.376
Model_Workflow_Studies,llama,2,Completeness,74,0.74,0.439
Model_Workflow_Studies,llama,2,Step_concordance,48,0.48,0.5
Model_Workflow_Studies,llama,2,Case_tailoring,60,0.6,0.49
Model_Workflow_Studies,llama,2,Missing_data_concordance,15,0.15,0.357
