Reference_ID,Title,Author,Paragraph_N,Content,Topic
11,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,11,"_
During the study period, 151 patients underwent
curative-intent hepatectomy for synchronous colorectal
liver metastases, with 23% of patients (n = 35) having a
liver-first approach and 77% (n = 116) managed with
a primary-first (n = 93; 80%) or simultaneous resection
(n = 23; 20%). These 2 groups were not significantly different with respect to known or potentially prognostic
clinicopathologic features, including age at diagnosis,
ASA class, primary T stage, nodal status, differentiation,
lymphovascular invasion, perineural invasion, the distribution, number, and largest diameter of liver metastases, _KRAS_ mutational status, and Fong clinical risk score
(Table 1). [14] The groups were different with respect to the
primary location, with a higher proportion of patients
sequenced with a liver-first approach having rectal or

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

DISEASES OF THE COLON & RECTUM VOLUME 68: 1 (2025) ",PrimaryTumor
12,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,12," Clinicopathologic characteristics of patients with synchronous colorectal liver metastases undergoing hepatic resection

_Primary-first or simultaneous_ _Liver-first resection_ _All patients (N = 151),_
_Variable_ _resection (N = 116), n (%)_ _(N = 35), n (%)_ _n (%)_ _p_

Age at diagnosis, median (IQR), y 60 (49–66) 52 (48–62) 57 (48–65) 0.05
Male sex 66 (56.9) 19 (54.3) 85 (56.3) 0.85
BMI, median (IQR) 26.5 (24.1–31.3) 26.5 (23.1–34.7) 26.5 (23.5–31.5)
ASA class 0.68
1–2 35 (30.2) 9 (25.7) 44 (29.1)
3–4 81 (69.8) 26 (74.3) 107 (70.9)
Charlson Comorbidity Index, median (IQR) 8 (7–9) 7 (6–8) 8 (7–9) 0.02
Primary location <0.001
Ascending colon/cecum 36 (31.0) 0 (0) 36 (23.8)
Sigmoid/descending colon 47 (40.5) 4 (11.4) 51 (33.8)
Multifocal 1 (0.9) 0 (0) 1 (0.7)
Rectal/rectosigmoid 24 (20.7) 31 (88.6) 55 (36.4)
Transverse colon 8 (6.9) 0 (0) 8 (5.3)
Primary T stage 0.23
T1/T2 11 (9.5) 6 (17.1) 17 (11.3)
T3/T4 105 (90.5) 29 (82.9) 134 (88.7)
Node-positive primary 84 (72.4) 29 (82.9) 113 (74.8) 0.27
Primary differentiation 0.13
Well 7 (6.0) 0 (0) 7 (4.6)
Moderate 87 (75.0) 32 (91.4) 119 (78.8)
Poor 15 (12.9) 1 (2.9) 16 (10.6)
Unknown 7 (6.0) 2 (5.7) 9 (6.0)
Primary LVI present 61 (52.6) 13 (37.1) 74 (49.0) 0.13
Primary PNI present 24 (20.7) 10 (28.6) 34 (22.5) 0.36
Liver metastases distribution 0.91
Right-sided 49 (42.2) 16 (45.7) 65 (43.0)
Left-sided 9 (7.8) 3 (8.6) 12 (7.9)
Bilateral 58 (50.0) 16 (45.7) 74 (49.0)
Largest liver metastasis, median (IQR), cm 3.2 (2–4.5) 4 (1.5–4.9] 3.3 (2.0–4.6) 0.28
No. of liver metastases, median (IQR) 2 (1–4) 3 (2–5) 3 (1–4) 0.09
High-risk Fong CRS (≥3) 67 (57.8) 26 (74.3) 93 (61.6) 0.11
_KRAS_ status 0.64
Not tested 36 (31.0) 8 (22.9) 44 (29.1)
Wild type 49 (42.2) 17 (48.6) 66 (43.7)
Mutant 31 (26.7) 10 (28.6) 41 (27.2)
Neoadjuvant radiation to primary 10 (8.6) 15 (42.9) 25 (16.6) <0.001
Portal vein embolization 10 (8.6) 9 (25.7) 19 (12.6) 0.02
Chemotherapy before hepatectomy 98 (84.5) 34 (97.1) 132 (87.4) 0.08
Major hepatectomy (≥4 segments) 67 (57.8) 23 (65.7) 90 (59.6) 0.44
Laparoscopic hepatectomy 12 (10.3) 5 (14.3) 17 (11.3) 0.55
Microscopically positive (R1) hepatectomy 2 (1.7) 4 (11.4) 6 (4.0) 0.03
margin

CRS = clinical recurrence score; IQR = interquartile range; LVI = lymphovascular invasion; PNI = perineural invasion.

rectosigmoid cancers and receiving preoperative radiation
to the primary tumor. A long-course radiation strategy
was used in 20 patients (80%) treated with preoperative
radiation. Patients managed with liver-first resections were
also more likely to receive portal vein embolization before
hepatectomy. The proportion of patients undergoing laparoscopic or major hepatectomy was not significantly
different between the 2 groups, as was the proportion
receiving chemotherapy before hepatectomy. No patients
managed with the liver-first approach experienced intrahepatic or extrahepatic disease progression between
their liver and primary resections. Of patients receiving
preoperative systemic therapy (n = 138), 84% of patients
(n = 116) received 5-fluorouracil, folinic acid, and

oxaliplatin. These comparisons were not meaningfully
different when individually comparing all 3 treatment
groups.
Sixty-two percent of patients (n = 21) sequenced
with a liver-first approach received systemic chemotherapy between liver and primary resection, whereas 87% of
patients (n = 81) receiving a primary-first approach were
treated with chemotherapy between primary and liver
resection. The median interval between primary and liver
resection, including the duration of interposed chemotherapy, was 183 days (interquartile range [IQR], 142–261
days) for primary-first versus 119 days (IQR, 93–187 days)
for liver-first ( _p_ < 0.001). Ninety-six percent of all patients
(n = 145) were of White non-Hispanic race.

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

",PrimaryTumor
13,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,13," Sutton et al: Liver-First CRLM Resection

A Recurrence-free survival B

Extrahepatic recurrence-free survival

100

50





_p_ = 0.02




0





LF
PF
SR











100

50







0
|Col1|Col2|Col3|Col4|
|---|---|---|---|
|||||
|||||
0 12 24 36
Months from hepatectomy

0 12 24 36
Months from diagnosis

48 60

35
93
23

35
93
23

LF
PF
SR

35
93
23

23
64
19

28
82
19

18
66
17

13
52
13

13
45
11

11
41
9

10
35
8

LF
PF
SR

",PrimaryTumor
14,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,14," Kaplan-Meier plots of oncologic outcomes of patients undergoing hepatectomy for synchronous colorectal liver metastases by
treatment approach: (A) recurrence-free survival, (B) extrahepatic recurrence-free survival, (C) liver recurrence-free survival, and (D) overall
survival. LF = liver first; PF = primary first; SR = simultaneous first.

There were 20 major postoperative complications
(Clavien-Dindo grade 3 or more) after hepatectomy
(12 organ space surgical site infections, 2 small-bowel
obstructions requiring adhesiolysis, 1 pneumothorax
requiring chest tube placement, 1 postoperative hepatic
failure, 1 necrotizing soft tissue infection, 1 fascial dehiscence, 1 severe _Clostridium difficile_ colitis, and 1 septic
shock of unclear cause). Major complications were significantly higher after simultaneous resections (n = 7;
30%) compared with either liver-first (n = 2; 6%; _p =_
0.02) or primary-first resections (n = 11; 12%; _p_ = 0.048)
despite numerically lower median estimated blood loss in
simultaneous resections (350 mL versus 500 and 600 mL,
respectively; 1-way ANOVA _p_ = 0.12).

_",PrimaryTumor
15,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,15,"_
The median duration of follow-up was 45 months for
the cohort (range, 10–207 months). There were 109

recurrences and 70 deaths during the study period.
Patients undergoing liver-first resection sequence had
lower median RFS (12.3 months; Fig. 1A) compared to
both primary-first (16.6 months; _p_ = 0.02) and simultaneous resections (16.3 months) although this did not reach
statistical significance on univariable analysis ( _p_ = 0.11).
On further analysis, extrahepatic recurrence was the predominant driver of this difference (Fig. 1B), with 3-year
EHRFS 19%, 58%, and 50% for liver-first, primary-first,
and simultaneous resections, respectively, whereas 3-year
liver-specific RFS was not different at 42%, 49%, and
44%, respectively (Fig. 1C). Despite these differences,
the OS was not significantly different between patients
undergoing liver-first, primary-first, and simultaneous
resections, with 3-year OS of 86%, 79%, and 86% and
5-year OS of 64%, 63%, and 66%, respectively (Fig. 1D).
Oncologic outcomes did not significantly differ between
patients with primary-first and simultaneous resections
(all _p_ - 0.4).

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

DISEASES OF THE COLON & RECTUM VOLUME 68: 1 (2025) ",PrimaryTumor
16,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,16," Multivariable analysis of recurrence-free survival in patients with resected synchronous colorectal liver metastases

_Recurrence-free survival_ _Extrahepatic recurrence-free survival_

_Variable_ _Multivariable HR (95% CI)_ _p_ _Multivariable HR (95% CI)_ _p_

T3/T4 primary 2.01 (1.03–3.89) 0.04  -  Primary LVI a  - 2.07 (1.22–3.52) 0.007
No. of liver metastases (per lesion) 1.25 (1.15–1.36) <0.001 1.22 (1.08–1.37) 0.001
Primary-first or simultaneous resection Referent  - Referent  Liver-first resection 1.60 (1.04–2.45) 0.03 1.93 (1.09–3.42) 0.03

LVI = lymphovascular invasion.
aRemoved from the final model on single backward elimination.

On univariable analysis, primary lymphovascular invasion, higher number of liver metastases, and
liver-first resection were associated with worse RFS and
[EHRFS (see Supplemental Table 1 at http://links.lww.](http://links.lww.com/DCR/C401)
[com/DCR/C401). In addition, a T3/T4 primary and size](http://links.lww.com/DCR/C401)
of the largest liver metastasis met the criteria for inclusion in the initial multivariable model for RFS, whereas
a rectal or rectosigmoid primary, node-positive primary,
and size of the largest liver metastasis met inclusion criteria for EHRFS. On multivariable analysis, a T3 or T4
primary was independently associated with worse RFS, as
were a higher number of liver lesions and performance of
a liver-first resection relative to primary-first or simultaneous resection (Table 2). In addition, primary lymphovascular invasion, higher number of liver metastases, and
liver-first resection were independently associated with
worse EHRFS.

_",PrimaryTumor
17,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,17,"_
To further assess the role of primary tumor resection and
given the equivalent oncologic outcomes for primaryfirst and simultaneous resections, the 2 treatment
approaches were grouped for 1:1 propensity score matching (Fig. 2A-C) with patients undergoing liver-first resection or a primary-first/synchronous resection. Matching
yielded 68 patients with 34 patients per group, including
28 primary-first and 6 simultaneous resections comprising
the non–liver-first group. The propensity score–matched
groups did not differ by sex, age, primary characteristics, CRLM characteristics, perioperative chemotherapy,
or receipt of primary-directed radiotherapy ( _p >_ 0.1 for
[all comparisons; see Supplemental Table 2 at http://links.](http://links.lww.com/DCR/C402)
[lww.com/DCR/C402). Overall, 65% of patients (n = 22) in](http://links.lww.com/DCR/C402)
each group had a major hepatectomy. Laparoscopic liver
resection was completed in 5 patients (15%) treated with
a liver-first resection and in 4 patients (12%) receiving a
primary-first or simultaneous resection.
The median time to death or last follow-up for the
matched cohort was 38 months. There were 29 deaths and
53 recurrences. Ten patients experienced liver-isolated
recurrence, and 43 experienced extrahepatic recurrence
(26 liver-first vs 17 primary-first/simultaneous resection patients). Compared to patients managed with a

primary-first or simultaneous resection, the liver-first
sequence was associated with a shorter RFS (median 12
vs 23 months; _p_ = 0.004; Fig. 2A), which was primarily
due to higher extrahepatic recurrence (3-year EHRFS
20% vs 55%; _p_ = 0.04; Fig. 2B). Importantly, locations of
extrahepatic recurrence were similar when comparing
the liver-first to the primary-first/simultaneous resection
groups, with pulmonary recurrence being most common
(73% vs 76%), followed by peritoneal recurrence (38% vs
30%). Both groups were similar with respect to resection
of recurrent extrahepatic disease, with 23% of patients in
both groups undergoing resection of pulmonary metastases. Importantly, the shorter RFS observed in the liver-first
approach did not translate into a difference in OS at 3
years (79% vs 80%; _p_ = 0.95) or 5 years (59% vs 59%; _p_ 0.99; Fig. 2D). No patients undergoing liver-first resection
experienced intra- or extrahepatic disease progression
between their liver and primary resections.

_",PrimaryTumor
18,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,18,"_
In the present study, we demonstrate that in our singleinstitution, retrospective cohort, a liver-first approach in
patients with synchronous CRLM treated with is associated
with a shorter RFS, but similar OS compared to primaryfirst or simultaneous resection strategies. The optimal
sequencing to manage patients with synchronous CRLM
is unclear. The METASYNC trial was an important step in
evaluating the impact of sequencing treatment for patients
with synchronous disease. However, the trial grouped
patients into a simultaneous resection versus primary-first
approach with a primary end point of major complication at
60 days. This trial did not include a liver-first approach but
did demonstrate that patients managed with delayed resection of resectable CRLM had worse RFS and OS ( _p_ = 0.05),
highlighting the importance of managing the liver disease in this setting. [4] Over the past decade, the liver-first
approach has gained traction given that the liver disease
burden is the main driver of survival as well as impacting
the patient’s quality of life. [15,16] Furthermore, the integration
of a total neoadjuvant approach with chemoradiation therapy and chemotherapy for patients with rectal cancer culminating in the potential for organ preservation has come

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

",PrimaryTumor
19,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,19," Sutton et al: Liver-First CRLM Resection

A Recurrence-free survival B

100

50




Extrahepatic recurrence-free survival



_p_ = 0.04


0






PF or SR 34










100

50







0
|Col1|Col2|Col3|Col4|
|---|---|---|---|
|||||
0 12

24 36 48
Months from diagnosis

12 24
Months from hepatectomy

36

15

PF or SR 34

0 12

PF or SR 34

21
13

32
28

26
20

20
13

60

15

LF 34 22 13 9

34

30
22

LF 34 34 28 20 13 10

34

34
34

",PrimaryTumor
20,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,20," Kaplan-Meier plots of oncologic outcomes of propensity score–matched patients undergoing hepatectomy for synchronous
colorectal liver metastases by treatment approach: (A) recurrence-free survival, (B) extrahepatic recurrence-free survival, (C) liver recurrencefree survival, and (D) overall survival. LF, liver-first; PF, primary-first; SR, simultaneous resection.

to the foreground and is poorly studied in synchronous
metastatic disease. [17–19] Understanding optimal treatment
sequencing is particularly relevant for rectal primaries,
which are more technically challenging to resect, with a
greater impact on quality of life than colon primaries, and
are associated with increased postoperative complications
when resected simultaneously with liver metastases. [20,21]
Of the prior studies specifically investigating the
effect of treatment sequencing in those with synchronous CRLM, only the study by Giuliante et al investigated OS and RFS between all 3 approaches using
propensity score–matched methodologies. A minor
improvement in 3-year OS for liver-first compared to
primary-first or simultaneous resections in patients with
multiple bilateral liver and unilateral liver metastases was
noted, but not for the cohort at large, including solitary
metastases, where 5-year OS for the liver-first approach
was only superior to simultaneous resections, but not
primary-first resection. [11] The 5-year RFS was similar
for liver-first group compared to simultaneous resection
group (37.5% versus 37.9%) and improved compared to

the primary-first group (34.6%). These results contrast
with the present findings, as well as those of Lim et al and
Esposito et al, which both demonstrated equivalent OS
but lower RFS for the liver-first compared to primary-first
approach after propensity score matching. [8,9] Although
the differences in the collective findings relating to OS
may be related to sample size and the subgroup analyses performed by Giuliante et al, the divergent findings
surrounding RFS are without a clear explanation. One
explanation may be the high proportion of rectal primaries in the studies which demonstrate inferior RFS with
liver-first approaches and mandates further prospective
investigation.
Our findings suggest that a liver-first approach may
be associated with an increased incidence of extrahepatic
recurrence but not mortality in this population, echoing
the findings of the aforementioned prior studies. These
findings persisted after propensity score matching across
a wide range of relevant clinicopathologic variables, yielding the largest propensity score–matched investigation
of this clinical question in a North American patient

Copyright © The American Society of Colon & Rectal Surgeons, Inc. Unauthorized reproduction of this article is prohibited.

DISEASES OF THE COLON & RECTUM VOLUME 68: 1 (2025) ",PrimaryTumor
21,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,21,"

population. We also show that simultaneous resection
does not have worse oncologic outcomes compared to
primary-first resection. Potential causes for these findings may include continued metastatic seeding from the
primary cancer left in situ, [22,23] which has historically been
viewed as a secondary concern relative to the liver metastatic burden. Mechanisms of metastasis in colorectal cancer are well studied; however, the extent to which these
mechanisms are halted or delayed with chemotherapy are
unclear, and primary lesions may be capable of seeding
metastases before, during, or after systemic chemotherapy and local radiotherapy. [24] It may be that delays between
chemotherapy, hepatectomy, possible additional chemoradiotherapy, and ultimate primary resection may allow
ample time for extrahepatic seeding, particularly during
off-treatment intervals, contributing to the observed
phenomena. Alternatively, growth factors released after
hepatic resection, such as during compensatory liver
hypertrophy, may contribute to a protumorigenic environment and promote seeding of extrahepatic disease in the
setting of an intact primary. [24,25] Interestingly, the observed
difference in RFS with liver-first resection did not translate into an OS difference in our cohort, possibly due to
limited sample size, insufficient follow-up, or the benign
course of extrahepatic metastases from colorectal cancer
compared to hepatic metastatic disease burden. Emerging
data on the utility of circulating tumor DNA (ctDNA) in
patients with CRLM may offer a method to guide treatment approaches in patients with synchronous CRLM. [26–30]
Osumi et al found that baseline levels of ctDNA correlate
with OS in patients with metastatic colorectal cancer, and
the absence of ctDNA after curative-intent resection has
been associated with improved oncologic outcomes. [28]
Furthermore, both Tie et al [29] and Nishioka et al [27] found
that those with detectable ctDNA after curative-intent
hepatectomy demonstrated significantly worse disease
recurrence and/or OS after resection. Future studies may
evaluate ctDNA levels at various stages of primary-first,
liver-first, and simultaneous resections to shed light on
how each treatment approach may impact both oncologic
outcomes and associated biomarkers to inform and personalize treatment sequencing.
This study is limited by its retrospective nature, and
prospective validation is needed. The study design introduces the risk of selection bias with respect to clinicopathologic factors associated with the outcome of interest.
Propensity score matching was used to mitigate these concerns; however, variables unaccounted for in the matching
process may have influenced oncologic outcomes. In addition, the liver-first cohort was numerically, although not
statistically significant, enriched with patients with rectal/
rectosigmoid primary lesions. Although this could have
introduced a bias, we also noted no significant relationship
between rectal/rectosigmoid primary location and RFS
within the entire cohort and that extrahepatic recurrences

were driven primarily by pulmonary metastases and not
local recurrence uniquely related to rectal/rectosigmoid
primary lesions. Finally, although we demonstrated that
oncologic outcomes did not differ between patients undergoing primary-first and simultaneous resections, grouping
them for propensity score matching may have introduced
bias into the analyses. [31]

_",PrimaryTumor
22,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,22,"_
Liver-first approach sequencing appears to confer worsened RFS in patients with synchronous CRLM, without
a significant difference in OS. Given the growing utilization of the liver-first approach to synchronous CRLM
and conflicting data surrounding treatment sequencing,
this work ultimately highlights the need for randomized,
prospective data comparing liver-first, primary-first, and
simultaneous resections. In addition, further investigation
is needed into discerning how best enhanced radiographic
or biochemical surveillance (such as ctDNA) and early
postoperative systemic therapy may be integrated to guide
and personalize treatment sequencing in those with synchronous CRLM.

_",PrimaryTumor
23,Liver-First Resection in Patients With Synchronous Colorectal Liver Metastases Is Associated With Inferior Recurrence-Free Survival: Reconsidering The Importance of the Primary Cancer,Sutton,23,"_
The authors thank Liam H. Wong, M.D., for their contribution to the statistical analysis completed for this work.

_",PrimaryTumor
