Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Workflow,claude,2,Completeness,0.975
Model_Workflow,claude,2,Step_concordance,0.5
Model_Workflow,claude,2,Case_tailoring,0.675
Model_Workflow,claude,2,Missing_data_concordance,0.15
Model_Workflow_Studies,claude,2,Completeness,0.95
Model_Workflow_Studies,claude,2,Step_concordance,0.375
Model_Workflow_Studies,claude,2,Case_tailoring,0.7
Model_Workflow_Studies,claude,2,Missing_data_concordance,0.3
Model_Alone,gpt,0,Completeness,0.78
Model_Alone,gpt,0,Step_concordance,0.66
Model_Alone,gpt,0,Case_tailoring,0.04
Model_Alone,gpt,0,Missing_data_concordance,0.12
Model_Studies,gpt,0,Completeness,0.96
Model_Studies,gpt,0,Step_concordance,0.68
Model_Studies,gpt,0,Case_tailoring,0.18
Model_Studies,gpt,0,Missing_data_concordance,0.1
Model_Workflow,gpt,0,Completeness,0.82
Model_Workflow,gpt,0,Step_concordance,0.78
Model_Workflow,gpt,0,Case_tailoring,0.08
Model_Workflow,gpt,0,Missing_data_concordance,0.06
Model_Workflow_Studies,gpt,0,Completeness,0.96
Model_Workflow_Studies,gpt,0,Step_concordance,0.8
Model_Workflow_Studies,gpt,0,Case_tailoring,0.18
Model_Workflow_Studies,gpt,0,Missing_data_concordance,0.2
Model_Alone,gpt,1,Completeness,0.68
Model_Alone,gpt,1,Step_concordance,0.66
Model_Alone,gpt,1,Case_tailoring,0.0
Model_Alone,gpt,1,Missing_data_concordance,0.14
Model_Studies,gpt,1,Completeness,0.78
Model_Studies,gpt,1,Step_concordance,0.7
Model_Studies,gpt,1,Case_tailoring,0.14
Model_Studies,gpt,1,Missing_data_concordance,0.18
Model_Workflow,gpt,1,Completeness,1.0
Model_Workflow,gpt,1,Step_concordance,0.9
Model_Workflow,gpt,1,Case_tailoring,0.08
Model_Workflow,gpt,1,Missing_data_concordance,0.04
Model_Workflow_Studies,gpt,1,Completeness,0.92
Model_Workflow_Studies,gpt,1,Step_concordance,0.8
Model_Workflow_Studies,gpt,1,Case_tailoring,0.08
Model_Workflow_Studies,gpt,1,Missing_data_concordance,0.22
Model_Alone,gpt,2,Completeness,0.68
Model_Alone,gpt,2,Step_concordance,0.54
Model_Alone,gpt,2,Case_tailoring,0.12
Model_Alone,gpt,2,Missing_data_concordance,0.14
Model_Studies,gpt,2,Completeness,0.78
Model_Studies,gpt,2,Step_concordance,0.7
Model_Studies,gpt,2,Case_tailoring,0.02
Model_Studies,gpt,2,Missing_data_concordance,0.1
Model_Workflow,gpt,2,Completeness,0.76
Model_Workflow,gpt,2,Step_concordance,0.78
Model_Workflow,gpt,2,Case_tailoring,0.16
Model_Workflow,gpt,2,Missing_data_concordance,0.02
Model_Workflow_Studies,gpt,2,Completeness,0.96
Model_Workflow_Studies,gpt,2,Step_concordance,0.94
Model_Workflow_Studies,gpt,2,Case_tailoring,0.16
Model_Workflow_Studies,gpt,2,Missing_data_concordance,0.3
Model_Alone,llama,0,Completeness,0.869
Model_Alone,llama,0,Step_concordance,0.606
Model_Alone,llama,0,Case_tailoring,0.659
Model_Alone,llama,0,Missing_data_concordance,0.147
Model_Studies,llama,0,Completeness,0.816
Model_Studies,llama,0,Step_concordance,0.475
Model_Studies,llama,0,Case_tailoring,0.606
Model_Studies,llama,0,Missing_data_concordance,0.108
Model_Workflow,llama,0,Completeness,0.948
Model_Workflow,llama,0,Step_concordance,0.606
Model_Workflow,llama,0,Case_tailoring,0.685
Model_Workflow,llama,0,Missing_data_concordance,0.16
Model_Workflow_Studies,llama,0,Completeness,0.869
Model_Workflow_Studies,llama,0,Step_concordance,0.528
Model_Workflow_Studies,llama,0,Case_tailoring,0.698
Model_Workflow_Studies,llama,0,Missing_data_concordance,0.147
Model_Alone,llama,1,Completeness,0.829
Model_Alone,llama,1,Step_concordance,0.606
Model_Alone,llama,1,Case_tailoring,0.659
Model_Alone,llama,1,Missing_data_concordance,0.134
Model_Studies,llama,1,Completeness,0.829
Model_Studies,llama,1,Step_concordance,0.462
Model_Studies,llama,1,Case_tailoring,0.593
Model_Studies,llama,1,Missing_data_concordance,0.042
Model_Workflow,llama,1,Completeness,0.948
Model_Workflow,llama,1,Step_concordance,0.606
Model_Workflow,llama,1,Case_tailoring,0.672
Model_Workflow,llama,1,Missing_data_concordance,0.147
Model_Workflow_Studies,llama,1,Completeness,0.908
Model_Workflow_Studies,llama,1,Step_concordance,0.528
Model_Workflow_Studies,llama,1,Case_tailoring,0.711
Model_Workflow_Studies,llama,1,Missing_data_concordance,0.121
Model_Alone,llama,2,Completeness,0.843
Model_Alone,llama,2,Step_concordance,0.593
Model_Alone,llama,2,Case_tailoring,0.633
Model_Alone,llama,2,Missing_data_concordance,0.108
Model_Studies,llama,2,Completeness,0.816
Model_Studies,llama,2,Step_concordance,0.436
Model_Studies,llama,2,Case_tailoring,0.567
Model_Studies,llama,2,Missing_data_concordance,0.055
Model_Workflow,llama,2,Completeness,1.0
Model_Workflow,llama,2,Step_concordance,0.437
Model_Workflow,llama,2,Case_tailoring,0.5
Model_Workflow,llama,2,Missing_data_concordance,0.0
Model_Workflow_Studies,llama,2,Completeness,0.882
Model_Workflow_Studies,llama,2,Step_concordance,0.514
Model_Workflow_Studies,llama,2,Case_tailoring,0.685
Model_Workflow_Studies,llama,2,Missing_data_concordance,0.147
